Date,Open,High,Low,Close,Adj Close,Volume
2021-04-14,267.232483,282.678314,256.762665,279.748413,279.748413,8215124752
2021-04-15,279.341156,290.790527,267.177734,286.590607,286.590607,6470712244
2021-04-16,286.28067,316.968597,267.473083,310.612732,310.612732,11850832933
2021-04-17,309.556641,335.024536,300.613129,304.759918,304.759918,13254117896
2021-04-18,304.647034,307.30426,238.337418,273.098816,273.098816,13129808269
2021-04-19,273.645142,281.352539,251.514481,261.91922,261.91922,9384818110
2021-04-20,261.280304,272.592438,235.673401,260.941345,260.941345,9446199109
2021-04-21,261.067902,276.310242,251.684235,258.805603,258.805603,7698253801
2021-04-22,258.059418,289.329193,241.301437,253.078354,253.078354,9862940091
2021-04-23,253.104797,256.656189,212.028168,241.35878,241.35878,9252716255
2021-04-24,241.457794,241.457794,221.283707,224.83577,224.83577,4567973779
2021-04-25,224.921844,235.20607,212.286835,223.632858,223.632858,3703413398
2021-04-26,223.987137,247.958694,221.910385,247.40593,247.40593,4935577761
2021-04-27,247.578278,262.616119,243.995392,259.652283,259.652283,4605576124
2021-04-28,259.790955,266.307495,248.507736,258.505157,258.505157,4235575377
2021-04-29,258.576996,262.546967,249.293045,255.585266,255.585266,3555940124
2021-04-30,255.450577,273.245026,252.887817,271.167084,271.167084,3898872713
2021-05-01,271.14267,278.219421,266.631409,276.833527,276.833527,3611805752
2021-05-02,276.960419,277.483459,265.335724,269.10437,269.10437,3118501264
2021-05-03,269.008301,299.300537,268.728973,294.70401,294.70401,5172505234
2021-05-04,294.774261,326.888672,275.464966,306.234497,306.234497,11541253990
2021-05-05,305.177399,359.500153,301.451569,356.037079,356.037079,13183539068
2021-05-06,356.022125,364.517609,323.705444,353.510345,353.510345,10441211171
2021-05-07,354.506836,372.265411,333.995178,346.253571,346.253571,11094872192
2021-05-08,345.296875,356.032867,334.975769,346.368744,346.368744,6775459938
2021-05-09,347.090027,388.232788,335.173462,386.450775,386.450775,9835832552
2021-05-10,387.869171,412.960144,339.138947,359.329315,359.329315,13240769672
2021-05-11,359.258087,378.859131,345.298828,377.388794,377.388794,8798204078
2021-05-12,377.670532,393.132477,303.084869,303.084869,303.084869,8782996412
2021-05-13,310.102386,332.028473,292.28067,316.909332,316.909332,9777636796
2021-05-14,317.517212,338.098053,308.707672,326.233856,326.233856,6413801038
2021-05-15,326.397919,331.592621,297.590851,299.772522,299.772522,5642887118
2021-05-16,299.817963,323.763794,280.370667,296.627045,296.627045,5522282426
2021-05-17,296.092438,296.410553,262.73999,281.769318,281.769318,6426443389
2021-05-18,281.103333,318.045074,279.411469,294.619324,294.619324,7572089848
2021-05-19,294.605591,299.847595,151.17244,189.520172,189.520172,11449368854
2021-05-20,186.866272,224.847672,167.640045,212.276138,212.276138,8294595618
2021-05-21,210.935974,219.234802,157.612,180.197037,180.197037,6827729891
2021-05-22,180.538742,184.374313,163.066498,169.594559,169.594559,5184597505
2021-05-23,169.684509,176.455734,118.642441,143.519363,143.519363,6847843143
2021-05-24,142.802643,184.143997,140.403778,183.994125,183.994125,5615445186
2021-05-25,185.037491,194.124054,168.410751,183.497894,183.497894,5221949811
2021-05-26,183.976318,204.089508,180.017197,199.224335,199.224335,4409113332
2021-05-27,199.235184,208.463501,181.087341,193.121094,193.121094,4104509375
